iter	RMSE
0	0.03434755588
1	0.03424490532
2	0.03413485602
3	0.0340668386
4	0.03396012539
5	0.03389431692
6	0.03378511875
7	0.03369841611
8	0.03360466802
9	0.03349550442
10	0.03340920488
11	0.03332235553
12	0.03324748737
13	0.03316152089
14	0.03306827944
15	0.03299849241
16	0.03289682366
17	0.03283996412
18	0.03275301139
19	0.03269072168
20	0.03261796827
21	0.03254968314
22	0.03250842364
23	0.03240613521
24	0.03232236702
25	0.03221541931
26	0.03214643577
27	0.03207510109
28	0.03202475274
29	0.03196546831
30	0.03188103919
31	0.0318008667
32	0.03173043587
33	0.03169549555
34	0.03162816425
35	0.03157460065
36	0.03147978634
37	0.03139291462
38	0.03132908308
39	0.03125566512
40	0.03115671176
41	0.03111066932
42	0.03105350413
43	0.03097798142
44	0.03093401012
45	0.03089565506
46	0.03083566509
47	0.03079209189
48	0.03074301262
49	0.03064090451
